1150120	積丹町美国町＊	4318	14036	200603011200	
1150121	積丹町余別町＊	4319	14023	200606201200	
1150230	古平町浜町（旧）＊	4316	14038	200207291200	201105121300
1150231	古平町浜町（旧２）＊	4316	14038	201105121300	202204291200
1150232	古平町浜町＊	4316	14038	202204291200	
1150330	仁木町西町（旧）＊	4309	14046	200207291200	201105121300
1150331	仁木町西町＊	4309	14046	201105121300	
1150400	余市町朝日町	4312	14047	199604011200	
1150420	余市町浜中町＊	4312	14047	200606201200	
1150520	赤井川村赤井川＊	4305	14049	200603011200	
1160020	ニセコ町中央通＊	4248	14041	200603011200	
1160130	真狩村真狩（旧）＊	4246	14048	200207291200	201105121300
1160131	真狩村真狩（旧２）＊	4246	14048	201105121300	201206231200
1160132	真狩村真狩＊	4246	14048	201206231200	
1160230	留寿都村留寿都（旧）＊	4244	14053	200207291200	201105121300
1160231	留寿都村留寿都＊	4244	14053	201105121300	
1160320	喜茂別町喜茂別＊	4248	14056	200603011200	
1160430	京極町京極（旧）＊	4251	14053	200207291200	201105121300
1160431	京極町京極＊	4252	14053	201105121300	
1160500	倶知安町南１条	4254	14045	194499999999	
1160520	倶知安町北４条＊	4254	14046	200603011200	
1170000	島牧村江ノ島	4239	14002	199407151200	
1170020	島牧村泊＊	4242	14004	200603011200	
1170100	寿都町新栄（旧）	4248	14013	188499999999	200811041200
1170101	寿都町新栄	4248	14013	200811041200	
1170120	寿都町渡島＊	4247	14014	200603011200	
1170220	黒松内町黒松内（旧）＊	4240	14018	200603011200	200709261200
1170221	黒松内町黒松内＊	4240	14018	200709261200	
1170320	蘭越町蘭越＊	4248	14032	200603011200	
1170430	共和町南幌似（旧）＊	4259	14037	200207291200	201105121300
1170431	共和町南幌似＊	4259	14037	201105121300	
1170500	岩内町清住（旧）	4259	14031	199604011200	201505281200
1170501	岩内町高台	4259	14031	201505281200	
1170520	岩内町清住＊	4259	14031	201507301200	
1170630	泊村茅沼村（旧）＊	4304	14030	200207291200	201105121300
1170631	泊村茅沼村＊	4304	14030	201105121300	
1170720	神恵内村神恵内＊	4309	14026	200603011200	
1190000	奥尻町米岡	4204	13926	199504131500	200011301200
1190001	奥尻町松江	4205	13928	200011301200	
1190021	奥尻町青苗＊	4204	13927	200606201200	201211151600
1190030	奥尻町奥尻（旧）＊	4210	13931	200207291200	201105121300
1190031	奥尻町奥尻＊	4210	13931	201105121300	
1190070	奥尻町奥尻（臨時）	4210	13931	199307151700	199504131500
1200020	深川市１条＊	4343	14203	200603011200	
1200070	鷹泊通報所	4354	14206	195910019999	197501259999
1200130	妹背牛町妹背牛（旧）＊	4342	14158	200207291200	201105121300
1200131	妹背牛町妹背牛＊	4342	14158	201105121300	
1200230	秩父別町役場（旧）＊	4346	14157	200207291200	201105121300
1200231	秩父別町役場＊	4346	14157	201105121300	
1200300	北竜町竜西	4345	14143	199407151200	
1200330	北竜町和（旧）＊	4344	14153	200207291200	201105121300
1200331	北竜町和＊	4344	14153	201105121300	
1200420	沼田町沼田＊	4348	14156	200603011200	
1200470	石狩沼田通報所	4348	14157	195910019999	197804019999
1210000	芦別市旭町	4330	14213	199407151200	
1210020	芦別市北２条＊	4331	14211	200603011200	
1210130	赤平市泉町（旧）＊	4333	14203	200207291200	201105121300
1210131	赤平市泉町＊	4333	14203	201105121300	
1210200	滝川市大町	4333	14155	199604011200	
1210220	滝川市新町＊	4333	14155	200606201200	
